x y
0 0.000200748
0.1 0.000200748
0.1 0.00389452
0.2 0.00389452
0.2 0.0146145
0.3 0.0146145
0.3 0.039427
0.4 0.039427
0.4 0.0760836
0.5 0.0760836
0.5 0.12073
0.6 0.12073
0.6 0.180071
0.7 0.180071
0.7 0.243588
0.8 0.243588
0.8 0.298754
0.9 0.298754
0.9 0.343842
1 0.343842
